remark,"CSV-Import-Export"
remark,"Date = Mon Aug 28 07:30:52 2017"
remark,"Version = RSLogix 5000 v21.00"
remark,"Owner = jjablonowski"
remark,"Company = Revere Control System"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,BO5ExtendedApron:I,"","AB:PowerFlex525V_E_3DC2426F:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,BO5ExtendedApron:O,"","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ChutefeedFeedroll:C,"","AB:ETHERNET_MODULE:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ChutefeedFeedroll:I,"","AB:ETHERNET_MODULE_INT_20Bytes:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ChutefeedFeedroll:O,"","AB:ETHERNET_MODULE_INT_20Bytes:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FOOutfeedFan:I,"","AB:PowerFlex525V_E_3DC2426F:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FOOutfeedFan:O,"","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,CCP:10:C,"","AB:1734_DO8_NoDiag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,CCP:10:I,"","","CCP:I.Data[10]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,CCP:10:O,"","","CCP:O.Data[10]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,CCP:11:C,"","AB:1734_DO8_NoDiag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,CCP:11:I,"","","CCP:I.Data[11]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,CCP:11:O,"","","CCP:O.Data[11]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,CCP:12:C,"","AB:1734_DO8_NoDiag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,CCP:12:I,"","","CCP:I.Data[12]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,CCP:12:O,"","","CCP:O.Data[12]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,CCP:13:C,"","AB:1734_DO8_NoDiag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,CCP:13:I,"","","CCP:I.Data[13]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,CCP:13:O,"","","CCP:O.Data[13]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,CCP:1:I,"","AB:1734_IB8S_Safety2:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CCP:1:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CCP:2:I,"","AB:1734_IB8S_Safety2:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CCP:2:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CCP:3:I,"","AB:1734_OB8S_Safety1:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CCP:3:O,"","AB:1734_OB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CCP:4:I,"","AB:1734_OB8S_Safety1:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CCP:4:O,"","AB:1734_OB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CCP:5:C,"","AB:1734_OE2:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,CCP:5:I,"","AB:1734_OE2:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,CCP:5:O,"","AB:1734_OE2:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,CCP:6:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,CCP:6:I,"","","CCP:I.Data[6]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,CCP:7:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,CCP:7:I,"","","CCP:I.Data[7]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,CCP:8:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,CCP:8:I,"","","CCP:I.Data[8]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,CCP:9:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,CCP:9:I,"","","CCP:I.Data[9]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,CCP:I,"","AB:1734_14SLOT:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,CCP:O,"","AB:1734_14SLOT:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,B1BlendConveyor:I,"","AB:PowerFlex525V_E_3DC2426F:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,B1BlendConveyor:O,"","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,OBCP:10:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,OBCP:10:I,"","","OBCP:I.Data[10]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,OBCP:11:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,OBCP:11:I,"","","OBCP:I.Data[11]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,OBCP:12:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,OBCP:12:I,"","","OBCP:I.Data[12]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,OBCP:13:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,OBCP:13:I,"","","OBCP:I.Data[13]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,OBCP:14:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,OBCP:14:I,"","","OBCP:I.Data[14]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,OBCP:15:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,OBCP:15:I,"","","OBCP:I.Data[15]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,OBCP:16:C,"","AB:1734_DO8_NoDiag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,OBCP:16:I,"","","OBCP:I.Data[16]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,OBCP:16:O,"","","OBCP:O.Data[16]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,OBCP:17:C,"","AB:1734_DO8_NoDiag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,OBCP:17:I,"","","OBCP:I.Data[17]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,OBCP:17:O,"","","OBCP:O.Data[17]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,OBCP:18:C,"","AB:1734_DO8_NoDiag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,OBCP:18:I,"","","OBCP:I.Data[18]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,OBCP:18:O,"","","OBCP:O.Data[18]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,OBCP:19:C,"","AB:1734_DO8_NoDiag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,OBCP:19:I,"","","OBCP:I.Data[19]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,OBCP:19:O,"","","OBCP:O.Data[19]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,OBCP:1:I,"","AB:1734_IB8S_Safety2:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OBCP:1:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OBCP:2:I,"","AB:1734_IB8S_Safety2:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OBCP:2:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OBCP:3:I,"","AB:1734_IB8S_Safety2:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OBCP:3:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OBCP:4:I,"","AB:1734_IB8S_Safety2:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OBCP:4:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OBCP:5:I,"","AB:1734_OB8S_Safety1:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OBCP:5:O,"","AB:1734_OB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OBCP:6:I,"","AB:1734_OB8S_Safety1:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OBCP:6:O,"","AB:1734_OB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OBCP:7:I,"","AB:1734_OB8S_Safety1:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OBCP:7:O,"","AB:1734_OB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OBCP:8:I,"","AB:1734_OB8S_Safety1:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OBCP:8:O,"","AB:1734_OB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OBCP:9:I,"","AB:1734_OB8S_Safety1:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OBCP:9:O,"","AB:1734_OB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OBCP:I,"","AB:1734_20SLOT:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,OBCP:O,"","AB:1734_20SLOT:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FS51ReserveSiloFeedroll:I,"","AB:PowerFlex525V_E_3DC2426F:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FS51ReserveSiloFeedroll:O,"","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,TransportBelt:C,"","AB:ETHERNET_MODULE:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,TransportBelt:I,"","AB:ETHERNET_MODULE_INT_20Bytes:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,TransportBelt:O,"","AB:ETHERNET_MODULE_INT_20Bytes:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
