
[Numeric.0.0]

Name,Value,Extent,Manipulate,TreatAs,Access,ScaleTo,Sim,OnWrite,HasSP,Label,Desc,Class,FormType,LimitMin,LimitMax,LimitType,ColType,Event1 / Mode,Event2 / Mode,Trigger1 / Mode,Trigger2 / Mode,QuickPlot / Mode,Sec / Access,Sec / Logging
RLM1MasterSpeedAct,[DiloLoomsPLC.DB0151:0062.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1InfeedDraftAct,[DiloLoomsPLC.DB0151:0064.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1FingerRollerDraftAct,[DiloLoomsPLC.DB0151:0066.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1DrawOffDraftAct,[DiloLoomsPLC.DB0151:0068.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1InfeedSpeedAct,[DiloLoomsPLC.DB0151:0070.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1FingerRollerSpeedAct,[DiloLoomsPLC.DB0151:0072.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1DrawOffSpeedAct,[DiloLoomsPLC.DB0151:0074.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1StrokeFreqAct,[DiloLoomsPLC.DB0151:0076.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1PenetrationAct,[DiloLoomsPLC.DB0151:0086.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1GapAct,[DiloLoomsPLC.DB0151:0088.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1FingerRollersGapAct,[DiloLoomsPLC.DB0151:0090.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2InfeedDraftAct,[DiloLoomsPLC.DB0151:0092.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2DrawOffDraftAct,[DiloLoomsPLC.DB0151:0094.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2InfeedSpeedAct,[DiloLoomsPLC.DB0151:0096.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2DrawOffSpeedAct,[DiloLoomsPLC.DB0151:0098.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2StrokeFreqAct,[DiloLoomsPLC.DB0151:0100.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2PenetrationTopAct,[DiloLoomsPLC.DB0151:0110.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2PenetrationBottomAct,[DiloLoomsPLC.DB0151:0112.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2GapAct,[DiloLoomsPLC.DB0151:0114.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1InfeedDraftSP,[DiloLoomsPLC.DB0151:0116.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1FingerRollersDraftSP,[DiloLoomsPLC.DB0151:0118.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1DrawOffDraftSP,[DiloLoomsPLC.DB0151:0120.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1InfeedSpeedSP,[DiloLoomsPLC.DB0151:0122.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1NeedleDensitySP,[DiloLoomsPLC.DB0151:0124.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1AdvancePerStrokeSP,[DiloLoomsPLC.DB0151:0126.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1StitchingDensitySP,[DiloLoomsPLC.DB0151:0128.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1NeedleLengthSP,[DiloLoomsPLC.DB0151:0130.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1PenetrationSP,[DiloLoomsPLC.DB0151:0132.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1GapSP,[DiloLoomsPLC.DB0151:0134.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2InfeedDraftSP,[DiloLoomsPLC.DB0151:0144.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2DrawOffDraftSP,[DiloLoomsPLC.DB0151:0146.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2InfeedSpeedSP,[DiloLoomsPLC.DB0151:0148.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2NeedleDensityTopSP,[DiloLoomsPLC.DB0151:0150.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2NeedleDensityBottomSP,[DiloLoomsPLC.DB0151:0152.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2AdvancePerStrokeSP,[DiloLoomsPLC.DB0151:0154.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2StitchingDensitySP,[DiloLoomsPLC.DB0151:0156.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2NeedleLengthTopSP,[DiloLoomsPLC.DB0151:0158.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2NeedleLengthBottomSP,[DiloLoomsPLC.DB0151:0160.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2PenetrationTopSP,[DiloLoomsPLC.DB0151:0162.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2PenetrationBottomSP,[DiloLoomsPLC.DB0151:0164.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2GapSP,[DiloLoomsPLC.DB0151:0166.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLInfeedApronDraftMin,[DiloLoomsPLC.DB0011:0022.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLInfeedApronDraftMax,[DiloLoomsPLC.DB0011:0024.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLFingerRollersDraftMin,[DiloLoomsPLC.DB0011:0026.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLFingerRollersDraftMax,[DiloLoomsPLC.DB0011:0028.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1OutfeedDraftMin,[DiloLoomsPLC.DB0011:0022.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1OutfeedDraftMax,[DiloLoomsPLC.DB0011:0024.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1AdvancePerStrokeMin,[DiloLoomsPLC.DB0019:0002.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1AdvancePerStrokeMax,[DiloLoomsPLC.DB0019:0000.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1PenetrationMin,[DiloLoomsPLC.DB0019:0010.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1PenetrationMax,[DiloLoomsPLC.DB0019:0008.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1GapMin,[DiloLoomsPLC.DB0019:0012.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1GapMax,[DiloLoomsPLC.DB0019:0014.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2InfeedDraftMin,[DiloLoomsPLC.DB0011:0118.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2InfeedDraftMax,[DiloLoomsPLC.DB0011:0120.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2OutfeedDraftMin,[DiloLoomsPLC.DB0011:0118.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2OutfeedDraftMax,[DiloLoomsPLC.DB0011:0120.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2AdvancePerStrokeMin,[DiloLoomsPLC.DB0019:0030.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2AdvancePerStrokeMax,[DiloLoomsPLC.DB0019:0028.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2PenetrationTopMin,[DiloLoomsPLC.DB0019:0038.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2PenetrationTopMax,[DiloLoomsPLC.DB0019:0036.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2PenetrationBottomMin,[DiloLoomsPLC.DB0019:0042.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2PenetrationBottomMax,[DiloLoomsPLC.DB0019:0040.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2GapMin,[DiloLoomsPLC.DB0019:0044.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2GapMax,[DiloLoomsPLC.DB0019:0046.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLFingerRollGapMin,[DiloLoomsPLC.DB0019:0018.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLFingerRollGapMax,[DiloLoomsPLC.DB0019:0016.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RC106_0Bools,[DiloCrosslapperPLC.DB0151:0106.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCLapperDraft,[DiloCrosslapperPLC.DB0151:0026.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCProfile0,[DiloCrosslapperPLC.DB0151:0028.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCProfile1,[DiloCrosslapperPLC.DB0151:0030.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCProfile2,[DiloCrosslapperPLC.DB0151:0032.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCProfile3,[DiloCrosslapperPLC.DB0151:0034.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCProfile4,[DiloCrosslapperPLC.DB0151:0036.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCProfile5,[DiloCrosslapperPLC.DB0151:0038.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCProfile6,[DiloCrosslapperPLC.DB0151:0040.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCProfile7,[DiloCrosslapperPLC.DB0151:0042.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCProfile8,[DiloCrosslapperPLC.DB0151:0044.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCLeftApronHeight,[DiloCrosslapperPLC.DB0151:0074.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCRightApronHeight,[DiloCrosslapperPLC.DB0151:0076.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
