""
[Numeric.0.0]
""
Name,Value,Extent,Manipulation,TreatAs,Access,ScaleTo,Sim,OnWrite,HasSP,Label,Desc,Class,FormType,LimitMin,LimitMax,LimitType,ColType,Event1 / Mode,Event2 / Mode,Trigger1 / Mode,Trigger2 / Mode,QuickPlot / Mode,Sec / Access,Sec / Logging
RLM1SpeedMasterAct,[PLC1.RLM1SpeedMasterAct],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1InfeedDraftAct,[PLC1.RLM1InfeedDraftAct],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1FingerRollerDraftAct,[PLC1.RLM1FingerRollerDraftAct],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1DrawOffDraftAct,[PLC1.RLM1DrawOffDraftAct],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1InfeedSpeedAct,[PLC1.RLM1InfeedSpeedAct],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1FingerRollerSpeedAct,[PLC1.RLM1FingerRollerSpeedAct],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1DrawOffSpeedAct,[PLC1.RLM1DrawOffSpeedAct],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1StrokeFreqAct,[PLC1.RLM1StrokeFreqAct],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1PenetrationAct,[PLC1.RLM1PenetrationAct],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1GapAct,[PLC1.RLM1GapAct],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1FingerRollersGapAct,[PLC1.RLM1FingerRollersGapAct],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2InfeedDraftAct,[PLC1.RLM2InfeedDraftAct],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2DrawOffDraftAct,[PLC1.RLM2DrawOffDraftAct],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2InfeedSpeedAct,[PLC1.RLM2InfeedSpeedAct],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2DrawOffSpeedAct,[PLC1.RLM2DrawOffSpeedAct],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2StrokeFreqAct,[PLC1.RLM2StrokeFreqAct],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2PenetrationTopAct,[PLC1.RLM2PenetrationTopAct],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2PenetrationBottomAct,[PLC1.RLM2PenetrationBottomAct],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2GapAct,[PLC1.RLM2GapAct],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1InfeedDraftSP,[PLC1.RLM1InfeedDraftSP],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1FingerRollerDraftSP,[PLC1.RLM1FingerRollerDraftSP],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1DrawOffDraftSP,[PLC1.RLM1DrawOffDraftSP],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1InfeedSpeedSP,[PLC1.RLM1InfeedSpeedSP],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1NeedleDensitySP,[PLC1.RLM1NeedleDensitySP],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1AdvancePerStrokeSP,[PLC1.RLM1AdvancePerStrokeSP],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1StitchingDensitySP,[PLC1.RLM1StitchingDensitySP],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1NeedleLengthSP,[PLC1.RLM1NeedleLengthSP],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1PenetrationSP,[PLC1.RLM1PenetrationSP],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM1GapSP,[PLC1.RLM1GapSP],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2InfeedDraftSP,[PLC1.RLM2InfeedDraftSP],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RLM2DrawOffDraftSP,[PLC1.RLM2DrawOffDraftSP],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
